feedback_id,shipment_id,customer_id,rating,on_time_delivery,comments,feedback_date,channel
FBK000001,SHP000194,CUST00436,2,No,"Great service, will order again.",2026-04-18,App
FBK000002,SHP000073,CUST00528,5,NO,,2026-05-17,Website
FBK000003,SHP000297,CUST00578,2,NO,Driver was late by several hours.,2026-07-20,Website
FBK000004,SHP000233,CUST00365,2,No,Delivery was on time and package was in great condition.,2026-04-23,App
FBK000005,SHP000246,CUST00300,1,yes,Item arrived damaged.,2026-07-12,App
FBK000006,SHP001378,CUST00394,3,Yes,"Great service, will order again.",2026-05-01,Email Survey
FBK000007,SHP000193,CUST00147,1,yes,,2026-05-14,App
FBK000008,SHP001176,CUST00274,2,No,Item arrived damaged.,2026-08-16,Email Survey
FBK000009,SHP000069,CUST00070,6,No,Wrong item delivered.,2026-06-04,Website
FBK000010,SHP001220,CUST00265,-1,yes,,2026-04-23,App
FBK000011,SHP001453,CUST00031,3,yes,,2026-06-20,App
FBK000012,SHP000463,CUST00217,4,NO,,2026-07-18,App
FBK000013,SHP001090,CUST00120,2,Yes,Delivery was on time and package was in great condition.,2026-08-09,App
FBK000014,SHP001222,CUST00105,5,yes,"Great service, will order again.",2026-03-27,Call Center
FBK000015,SHP000727,CUST00360,4,Yes,,2026-06-19,Email Survey
FBK000016,SHP000713,CUST00342,2,Yes,,2026-05-16,Call Center
FBK000017,SHP000611,CUST00175,1,NO,"Great service, will order again.",2026-04-22,Website
FBK000018,SHP001155,CUST00167,4,Yes,Item arrived damaged.,2026-07-15,App
FBK000019,SHP000769,CUST00190,1,yes,,2026-06-06,Email Survey
FBK000020,SHP000786,CUST00100,3,Yes,,2026-03-24,App
FBK000021,SHP000321,CUST00144,4,yes,Wrong item delivered.,2026-08-09,Call Center
FBK000022,SHP001488,CUST00538,2,Yes,Wrong item delivered.,2026-06-14,Email Survey
FBK000023,SHP000613,CUST00597,3,NO,,2026-05-13,Call Center
FBK000024,SHP001042,CUST00375,3,Yes,"Great service, will order again.",2026-04-07,Call Center
FBK000025,SHP000135,CUST00060,-1,NO,Item arrived damaged.,2026-08-03,Website
FBK000026,SHP001080,CUST00404,5,No,,2026-04-27,Website
FBK000027,SHP000022,CUST00206,3,No,,2026-04-16,Call Center
FBK000028,SHP000752,CUST00202,5,NO,Delivery was on time and package was in great condition.,2026-06-29,Email Survey
FBK000029,SHP001436,CUST00448,5,No,,2026-04-07,App
FBK000030,SHP000628,CUST00219,5,Yes,Item arrived damaged.,2026-05-01,Call Center
FBK000031,SHP001488,CUST00439,4,Yes,,2026-07-16,Call Center
FBK000032,SHP000299,CUST00452,3,yes,,2026-04-27,App
FBK000033,SHP001394,CUST00561,1,yes,Wrong item delivered.,2026-03-20,Email Survey
FBK000034,SHP001242,CUST00297,2,NO,Item arrived damaged.,2026-06-05,Email Survey
FBK000035,SHP000896,CUST00191,5,yes,,2026-06-27,Email Survey
FBK000036,SHP000045,CUST00533,0,NO,Item arrived damaged.,2026-04-09,App
FBK000037,SHP000411,CUST00388,3,Yes,,2026-06-20,Email Survey
FBK000038,SHP001295,CUST00369,5,NO,Delivery was on time and package was in great condition.,2026-04-06,App
FBK000039,SHP001463,CUST00192,4,yes,,2026-03-19,Call Center
FBK000040,SHP000475,CUST00471,2,Yes,Wrong item delivered.,2026-05-09,App
FBK000041,SHP000561,CUST00301,1,yes,Item arrived damaged.,2026-04-17,Website
FBK000042,SHP001093,CUST00427,4,No,,2026-04-25,Website
FBK000043,SHP001481,CUST00336,1,NO,"Great service, will order again.",2026-07-16,Call Center
FBK000044,SHP000564,CUST00266,3,No,,2026-03-20,Email Survey
FBK000045,SHP000479,CUST00577,2,No,,2026-06-13,App
FBK000046,SHP000569,CUST00226,5,Yes,Delivery was on time and package was in great condition.,2026-05-17,App
FBK000047,SHP001205,CUST00035,1,Yes,Delivery was on time and package was in great condition.,2026-04-29,Email Survey
FBK000048,SHP001013,CUST00159,3,Yes,Item arrived damaged.,2026-04-28,Email Survey
FBK000049,SHP000012,CUST00187,4,Yes,Wrong item delivered.,2026-06-25,Email Survey
FBK000050,SHP001005,CUST00197,2,yes,"Great service, will order again.",2026-06-03,Call Center
FBK000051,SHP000131,CUST00144,1,NO,"Great service, will order again.",2026-03-21,Website
FBK000052,SHP000486,CUST00318,1,Yes,Item arrived damaged.,2026-05-31,Email Survey
FBK000053,SHP001110,CUST00548,4,NO,Delivery was on time and package was in great condition.,2026-07-26,App
FBK000054,SHP001352,CUST00433,3,yes,"Great service, will order again.",2026-05-07,Call Center
FBK000055,SHP001091,CUST00412,1,NO,,2026-04-16,Email Survey
FBK000056,SHP000905,CUST00078,3,Yes,,2026-04-10,App
FBK000057,SHP000364,CUST00266,4,NO,Item arrived damaged.,2026-07-24,App
FBK000058,SHP000468,CUST00408,5,Yes,Delivery was on time and package was in great condition.,2026-06-10,Website
FBK000059,SHP001353,CUST00460,4,yes,,2026-04-01,Email Survey
FBK000060,SHP000001,CUST00216,5,Yes,"Great service, will order again.",2026-03-27,App
FBK000061,SHP001488,CUST00243,2,Yes,,2026-08-15,Email Survey
FBK000062,SHP001189,CUST00282,4,Yes,Item arrived damaged.,2026-05-19,Call Center
FBK000063,SHP000956,CUST00312,4,No,Wrong item delivered.,2026-05-07,App
FBK000064,SHP001414,CUST00029,2,Yes,Driver was late by several hours.,2026-07-16,Website
FBK000065,SHP000413,CUST00346,2,yes,,2026-05-06,Email Survey
FBK000066,SHP001034,CUST00360,5,No,,2026-08-10,Website
FBK000067,SHP000360,CUST00155,4,Yes,"Great service, will order again.",2026-05-30,Call Center
FBK000068,SHP000703,CUST00099,3,No,Wrong item delivered.,2026-05-04,Call Center
FBK000069,SHP000864,CUST00204,1,yes,Driver was late by several hours.,2026-03-23,App
FBK000070,SHP001160,CUST00069,5,yes,,2026-06-30,Email Survey
FBK000071,SHP001110,CUST00389,3,Yes,Delivery was on time and package was in great condition.,2026-04-06,Call Center
FBK000072,SHP000862,CUST00397,4,NO,"Great service, will order again.",2026-04-29,App
FBK000073,SHP000407,CUST00087,1,yes,Driver was late by several hours.,2026-05-28,App
FBK000074,SHP000694,CUST00464,3,No,Wrong item delivered.,2026-05-09,Email Survey
FBK000075,SHP000645,CUST00408,1,NO,Item arrived damaged.,2026-08-10,Website
FBK000076,SHP000674,CUST00369,4,yes,,2026-06-16,Website
FBK000077,SHP000270,CUST00172,1,Yes,,2026-07-20,Website
FBK000078,SHP000564,CUST00014,3,NO,,2026-04-23,Call Center
FBK000079,SHP000221,CUST00416,2,No,Delivery was on time and package was in great condition.,2026-07-26,Call Center
FBK000080,SHP000744,CUST00245,4,yes,"Great service, will order again.",2026-07-09,Call Center
FBK000081,SHP000196,CUST00372,1,yes,Wrong item delivered.,2026-04-01,App
FBK000082,SHP000693,CUST00416,4,yes,Driver was late by several hours.,2026-06-12,Website
FBK000083,SHP000378,CUST00248,1,yes,Delivery was on time and package was in great condition.,2026-03-29,Website
FBK000084,SHP000623,CUST00009,5,yes,Item arrived damaged.,2026-03-21,Email Survey
FBK000085,SHP001108,CUST00513,5,No,,2026-07-06,Email Survey
FBK000086,SHP000570,CUST00494,2,yes,Wrong item delivered.,2026-07-23,Website
FBK000087,SHP001012,CUST00409,1,NO,,2026-05-30,Call Center
FBK000088,SHP001262,CUST00203,1,No,,2026-07-08,Email Survey
FBK000089,SHP000637,CUST00324,1,yes,Item arrived damaged.,2026-05-01,Call Center
FBK000090,SHP000664,CUST00018,4,No,Delivery was on time and package was in great condition.,2026-05-19,App
FBK000091,SHP000904,CUST00497,1,No,Wrong item delivered.,2026-07-12,Website
FBK000092,SHP001332,CUST00379,1,yes,,2026-06-15,Email Survey
FBK000093,SHP000602,CUST00561,-1,Yes,Item arrived damaged.,2026-07-05,Email Survey
FBK000094,SHP001215,CUST00193,3,No,Wrong item delivered.,2026-06-24,Email Survey
FBK000095,SHP000124,CUST00160,5,No,Delivery was on time and package was in great condition.,2026-06-28,App
FBK000096,SHP000109,CUST00584,4,NO,Item arrived damaged.,2026-04-04,App
FBK000097,SHP000420,CUST00029,3,NO,,2026-06-01,Call Center
FBK000098,SHP000162,CUST00110,2,yes,Item arrived damaged.,2026-04-27,Call Center
FBK000099,SHP000258,CUST00220,3,Yes,Driver was late by several hours.,2026-04-29,Website
FBK000100,SHP001497,CUST00488,1,yes,Wrong item delivered.,2026-04-28,Call Center
FBK000101,SHP001210,CUST00488,5,No,,2026-05-01,Email Survey
FBK000102,SHP000110,CUST00319,4,No,"Great service, will order again.",2026-03-31,Website
FBK000103,SHP000717,CUST00553,5,No,Item arrived damaged.,2026-04-19,Email Survey
FBK000104,SHP000718,CUST00331,5,yes,,2026-04-28,Website
FBK000105,SHP000205,CUST00099,2,yes,,2026-05-21,Website
FBK000106,SHP000753,CUST00292,5,yes,,2026-05-08,Email Survey
FBK000107,SHP000914,CUST00286,3,NO,Delivery was on time and package was in great condition.,2026-05-08,Email Survey
FBK000108,SHP000059,CUST00443,4,Yes,Item arrived damaged.,2026-06-01,App
FBK000109,SHP000257,CUST00408,2,NO,Item arrived damaged.,2026-04-19,Email Survey
FBK000110,SHP000641,CUST00383,3,yes,Wrong item delivered.,2026-06-19,Email Survey
FBK000111,SHP000430,CUST00057,3,NO,Wrong item delivered.,2026-04-01,Email Survey
FBK000112,SHP000544,CUST00186,3,Yes,Item arrived damaged.,2026-07-09,Email Survey
FBK000113,SHP000132,CUST00139,1,Yes,,2026-04-09,Email Survey
FBK000114,SHP000123,CUST00378,1,yes,"Great service, will order again.",2026-06-09,App
FBK000115,SHP000048,CUST00432,1,Yes,Item arrived damaged.,2026-04-09,Website
FBK000116,SHP001489,CUST00066,5,yes,,2026-06-26,App
FBK000117,SHP000209,CUST00317,1,NO,"Great service, will order again.",2026-06-23,Website
FBK000118,SHP000006,CUST00041,3,NO,,2026-05-22,Website
FBK000119,SHP000311,CUST00024,1,NO,,2026-05-28,Website
FBK000120,SHP001181,CUST00341,4,yes,Wrong item delivered.,2026-04-28,App
FBK000121,SHP000491,CUST00431,5,Yes,,2026-04-24,Call Center
FBK000122,SHP001480,CUST00169,1,NO,Item arrived damaged.,2026-06-10,Call Center
FBK000123,SHP000054,CUST00030,3,No,"Great service, will order again.",2026-07-20,Email Survey
FBK000124,SHP001183,CUST00110,4,Yes,Driver was late by several hours.,2026-06-16,Call Center
FBK000125,SHP001328,CUST00505,4,yes,Wrong item delivered.,2026-03-22,Website
FBK000126,SHP000441,CUST00303,4,NO,Item arrived damaged.,2026-07-09,Email Survey
FBK000127,SHP000658,CUST00573,1,NO,Driver was late by several hours.,2026-03-22,Email Survey
FBK000128,SHP000696,CUST00054,3,yes,Driver was late by several hours.,2026-04-06,App
FBK000129,SHP000249,CUST00063,1,Yes,,2026-08-09,Call Center
FBK000130,SHP001344,CUST00446,3,No,Driver was late by several hours.,2026-05-24,Call Center
FBK000131,SHP001059,CUST00198,2,NO,Item arrived damaged.,2026-04-19,App
FBK000132,SHP000639,CUST00058,4,Yes,,2026-05-25,Website
FBK000133,SHP001301,CUST00421,5,No,,2026-06-15,Website
FBK000134,SHP000929,CUST00168,3,NO,,2026-06-04,Email Survey
FBK000135,SHP000943,CUST00316,3,Yes,,2026-04-14,Call Center
FBK000136,SHP000725,CUST00370,4,NO,,2026-08-13,Call Center
FBK000137,SHP000414,CUST00111,2,Yes,Item arrived damaged.,2026-07-05,Website
FBK000138,SHP000384,CUST00427,4,Yes,Item arrived damaged.,2026-06-24,Website
FBK000139,SHP001066,CUST00294,4,No,Delivery was on time and package was in great condition.,2026-04-25,App
FBK000140,SHP001150,CUST00396,1,yes,,2026-07-16,Email Survey
FBK000141,SHP000182,CUST00271,3,No,Wrong item delivered.,2026-07-13,App
FBK000142,SHP001454,CUST00561,5,No,"Great service, will order again.",2026-06-28,App
FBK000143,SHP000571,CUST00058,4,Yes,"Great service, will order again.",2026-05-26,Call Center
FBK000144,SHP000888,CUST00069,3,No,,2026-05-08,Email Survey
FBK000145,SHP000758,CUST00270,1,No,Item arrived damaged.,2026-04-25,Email Survey
FBK000146,SHP000576,CUST00359,3,yes,Wrong item delivered.,2026-06-05,App
FBK000147,SHP000132,CUST00436,4,Yes,,2026-07-29,Website
FBK000148,SHP000030,CUST00149,1,yes,Driver was late by several hours.,2026-05-06,Email Survey
FBK000149,SHP000983,CUST00175,4,Yes,Delivery was on time and package was in great condition.,2026-03-24,App
FBK000150,SHP000184,CUST00079,1,yes,,2026-07-17,App
FBK000151,SHP000633,CUST00015,4,yes,Delivery was on time and package was in great condition.,2026-06-11,App
FBK000152,SHP000883,CUST00107,5,yes,Wrong item delivered.,2026-07-03,Call Center
FBK000153,SHP000474,CUST00264,4,yes,Item arrived damaged.,2026-04-25,App
FBK000154,SHP000109,CUST00419,3,NO,"Great service, will order again.",2026-06-24,Website
FBK000155,SHP000308,CUST00288,1,NO,,2026-04-24,Website
FBK000156,SHP001155,CUST00439,5,Yes,Item arrived damaged.,2026-07-31,Website
