gps_ping_id,vehicle_id,timestamp,latitude,longitude,speed_kmph,heading_deg,ignition_status,fuel_level_pct
GPS0000488,VEH0009,2026-04-27 23:11:00,7.49354,-94.206206,67.8,68,ON,19.3
GPS0000813,VEH0004,2026-07-18 12:22:00,78.370649,-58.632385,76.0,181,ON,50.0
GPS0000587,VEH0041,2026-03-31 15:16:00,18.558623,-90.955409,21.5,329,ON,54.1
GPS0001780,VEH0047,2026-03-13 07:46:00,-66.026106,30.213522,64.9,176,ON,74.4
GPS0000750,VEH0027,2026-07-13 16:19:00,82.768127,148.403874,74.9,104,ON,39.5
GPS0001078,VEH0049,2026-03-31 18:18:00,84.394897,-88.970564,99.3,298,OFF,24.6
GPS0000298,VEH0041,2026-03-23 20:08:00,48.395325,29.771469,38.7,20,ON,34.5
GPS0000773,VEH0022,2026-02-13 15:57:00,36.513967,146.018285,74.5,50,OFF,29.5
GPS0001737,VEH0043,2026-05-11 12:02:00,-22.581204,-55.922454,63.3,251,OFF,56.8
GPS0001027,VEH0050,2026-03-07 11:06:00,72.044655,131.356602,88.4,284,OFF,32.9
GPS0000969,VEH0049,2026-06-21 10:05:00,85.5105,-11.057762,112.2,167,OFF,93.7
GPS0000007,VEH0031,2026-01-30 22:21:00,24.900271,-39.474348,58.1,272,ON,64.9
GPS0000108,VEH0027,2026-06-20 11:11:00,61.200306,-127.991521,46.2,72,ON,83.4
GPS0000867,VEH0039,2026-07-15 16:43:00,-2.369773,107.794191,76.1,255,ON,41.6
GPS0000481,VEH0008,2026-04-15 20:22:00,46.756056,-122.34497,111.7,212,OFF,47.6
GPS0001402,VEH0050,2026-07-13 17:19:00,59.324799,-32.307081,88.2,12,ON,95.4
GPS0001295,VEH0040,2026-03-31 12:43:00,-67.84845,0.127076,110.2,356,ON,7.6
GPS0001612,VEH0028,2026-01-12 03:04:00,25.091257,132.994418,95.7,286,OFF,7.4
GPS0000051,VEH0039,2026-01-17 08:47:00,36.543777,161.85245,6.1,329,ON,45.6
GPS0000561,VEH0046,2026-02-04 13:17:00,21.386476,-87.036376,24.1,312,ON,12.4
GPS0001113,VEH0006,2026-01-23 12:43:00,-21.985445,-73.518966,1.9,127,OFF,97.3
GPS0000928,VEH0038,2026-04-05 05:06:00,70.094951,102.401405,110.8,107,OFF,53.2
GPS0002402,VEH0010,2026-03-11 19:53:00,-74.223248,-107.225313,38.5,288,ON,35.6
GPS0002108,VEH0036,2026-06-03 19:22:00,69.242072,-95.874958,78.7,321,OFF,95.5
