shipment_id,order_ref,warehouse_id,customer_id,vehicle_id,carrier,ship_date,expected_delivery_date,actual_delivery_date,distance_km,weight_kg,freight_cost_usd,status,origin_city,destination_city
SHP001411,ORD000415,WH012,CUST00361,VEH0021,In-house Fleet,2026-02-24,2026-02-28,2026-02-28,1965.2,2449.2,757.56,Out for Delivery,Hamburg,Jamesborough
SHP000017,ORD000571,WH005,CUST00020,VEH0053,FedEx,2026-08-12,2026-08-17,2026-08-17,1654.2,1839.9,1682.93,Delivered,Rotterdam,Alexishaven
SHP001093,ORD000193,WH006,CUST00441,VEH0059,XPO Logistics,2026-03-06,2026-03-16,2026-03-16,62.0,4640.2,3529.94,Delayed,Atlanta,Justinmouth
SHP000784,ORD000381,wh007,CUST00179,VEH0006,BlueDart,2026-03-13,2026-03-22,2026-03-22,1075.1,3270.9,1097.41,Delivered,Delhi,North Shawnberg
SHP001146,ORD001033,WH008,CUST00083,VEH0010,XPO Logistics,2026-04-28,2026-05-07,2026-05-07,537.1,4844.9,2257.69,In Transit,Singapore,East James
SHP001055,ORD000736,WH008,CUST00006,VEH0037,FedEx,2026-03-28,2026-03-31,2026-03-31,844.6,3853.0,624.66,In Transit,Singapore,Davidfurt
SHP000403,ORD000545,WH002,CUST00004,VEH0060,FedEx,2026-04-25,2026-04-28,2026-04-28,314.8,485.4,1931.83,Cancelled,Singapore,Lake Richardland
SHP000638,ORD001104,WH008,CUST00414,VEH0018,Delhivery,2026-07-05,2026-07-12,2026-07-12,2434.4,1777.3,3315.87,Delivered,Singapore,Beverlychester
SHP000895,ORD001121,WH004,CUST00053,VEH0015,XPO Logistics,2026-04-19,2026-04-28,2026-04-28,777.3,1689.0,2236.83,In Transit,Columbus,Jacquelinefurt
SHP001035,ORD000492,WH015,CUST00480,VEH0039,DHL,2026-07-24,2026-07-31,2026-07-31,1075.0,2058.0,2525.93,Delivered,Atlanta,Matthewbury
SHP000472,ORD000002,WH011,CUST00577,VEH0056,Delhivery,2026-04-01,2026-04-11,2026-04-11,1322.7,1231.8,174.39,Delivered,Newark,Dorismouth
SHP001014,ORD000621,WH008,CUST00193,VEH0039,BlueDart,2026-05-14,2026-05-20,2026-05-20,167.3,874.3,3497.72,Delivered,Singapore,Jeremyview
SHP000084,ORD000655,WH005,CUST00363,VEH0055,FedEx,2026-07-13,2026-07-23,2026-07-23,1094.8,4730.2,2231.44,In Transit,Rotterdam,Allenbury
SHP000730,ORD001144,WH010,CUST00599,VEH0015,XPO Logistics,2026-07-21,2026-08-01,2026-08-01,2503.7,2850.3,551.6,Delayed,Newark,Tammyburgh
SHP001167,ORD000582,WH006,CUST00117,VEH0018,In-house Fleet,2026-04-24,2026-04-28,,2179.6,4961.4,279.56,In Transit,Atlanta,New Jose
SHP001221,ORD000346,WH013,CUST00556,VEH0057,DHL,2026-04-20,2026-04-29,2026-04-29,2696.3,1983.3,2027.02,In Transit,Chennai,West Jorgebury
SHP000822,ORD000298,WH003,CUST00004,VEH0027,Delhivery,2026-03-08,2026-03-20,2026-03-20,2666.8,3492.2,2158.89,Out for Delivery,Columbus,East Francisview
SHP000071,ORD001169,WH011,CUST00567,VEH0024,XPO Logistics,2026-06-18,2026-06-27,2026-06-27,-16.6,3245.5,3271.72,Delayed,Newark,Dennismouth
SHP000493,ORD000681,WH009,CUST00231,VEH0035,BlueDart,2026-07-07,2026-07-17,,2725.2,1139.0,1727.73,In Transit,Atlanta,South Emma
SHP000998,ORD000785,WH015,CUST00348,VEH0055,XPO Logistics,2026-05-25,2026-06-02,2026-06-02,-33.9,3297.9,1993.96,Out for Delivery,Atlanta,Port Kimberly
SHP000894,ORD000196,WH004,CUST00596,VEH0025,Delhivery,2026-06-02,2026-06-07,2026-06-07,2051.0,4841.7,1142.86,Delayed,Columbus,Williamsbury
SHP000821,ORD001146,WH001,CUST00303,VEH0048,Delhivery,2026-03-03,2026-03-09,2026-03-09,475.6,3591.2,269.88,Delivered,Chennai,Lake Linda
SHP000222,ORD000329,WH004,CUST00001,VEH0002,BlueDart,2026-04-27,2026-05-04,2026-05-04,766.1,3877.0,3944.39,In Transit,Columbus,Port Nicole
SHP000578,ORD000053,WH007,CUST00173,VEH0041,XPO Logistics,2026-07-07,2026-07-11,2026-07-11,2850.8,4139.3,896.35,Out for Delivery,Delhi,Fullermouth
SHP001060,ORD000015,WH010,CUST00044,VEH0041,BlueDart,2026-02-16,2026-02-27,2026-02-27,1904.9,2494.9,1294.08,Cancelled,Newark,Lorihaven
SHP001409,ORD000089,WH008,CUST00303,VEH0057,DHL,2026-04-08,2026-04-10,2026-04-10,2937.1,3151.2,2265.59,In Transit,Singapore,Lake Jessica
SHP000634,ORD000431,WH001,CUST00094,VEH0021,FedEx,2026-05-29,2026-06-06,2026-06-06,2773.7,1263.3,3091.97,Out for Delivery,Chennai,South Madeline
SHP000070,ORD000627,WH006,CUST00577,VEH0022,In-house Fleet,2026-05-26,2026-06-05,2026-06-05,218.1,1074.9,2386.1,Cancelled,Atlanta,Elizabethport
SHP000698,ORD000270,WH007,CUST00425,VEH0047,DHL,2026-04-05,2026-04-13,2026-04-13,-29.6,1910.3,2967.37,Delayed,Delhi,Garnerbury
SHP001324,ORD000004,WH004,CUST00430,VEH0039,FedEx,2026-05-29,2026-05-31,2026-05-31,2807.4,94.6,2304.15,Delivered,Columbus,Port Jennifer
SHP000510,ORD001102,WH007,CUST00354,VEH0054,XPO Logistics,2026-06-13,2026-06-24,2026-06-24,2706.2,490.1,935.18,Delivered,Delhi,East Ronald
SHP000062,ORD000779,WH006,CUST00146,VEH0031,XPO Logistics,2026-08-11,2026-08-12,2026-08-12,356.3,3884.9,938.78,In Transit,Atlanta,South Charleston
SHP001262,ORD000099,WH009,CUST00037,VEH0034,FedEx,2026-03-04,2026-03-14,2026-03-14,1169.0,1802.5,936.16,Delivered,Atlanta,East Kathy
SHP000356,ORD000521,WH001,CUST00437,VEH0037,Delhivery,2026-04-09,2026-04-14,2026-04-14,319.9,1975.2,1221.77,Delivered,Chennai,Port Mandyland
